event time,event
0.0,0.0
2280.571,6.0
2280.571,6.0
2280.571,6.0
2280.571,6.0
2280.571,6.0
2280.571,6.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
3349.846,7.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
5937.951,10.0
7975.433,3.0
7975.433,3.0
7975.433,3.0
8233.404,3.0
8233.404,3.0
8233.404,3.0
10419.729,4.0
10470.419,4.0
10520.675000000001,4.0
10570.565,4.0
10620.68,4.0
17157.965,7.0
17208.894999999997,7.0
17259.013,7.0
17309.702,7.0
17360.557,7.0
17412.527000000002,7.0
17462.61,7.0
17513.376,7.0
17566.047000000002,7.0
17614.081,7.0
17665.848,7.0
17665.848,7.0
17665.848,7.0
17818.200999999997,7.0
17868.774999999998,7.0
17919.14,7.0
17970.45,7.0
18020.568,7.0
18071.538,7.0
