"dateTime,""value""";;Time;Value;
9/01/2021;;15:53:59;94;confidence:1}
9/01/2021;;15:54:04;93;confidence:1}
9/01/2021;;15:54:09;92;confidence:1}
9/01/2021;;15:54:14;93;confidence:1}
9/01/2021;;15:54:19;94;confidence:1}
9/01/2021;;15:54:24;91;confidence:1}
9/01/2021;;15:54:29;92;confidence:1}
9/01/2021;;15:54:34;93;confidence:1}
9/01/2021;;15:54:39;89;confidence:1}
9/01/2021;;15:54:44;90;confidence:1}
9/01/2021;;15:54:49;92;confidence:1}
9/01/2021;;15:54:54;91;confidence:1}
9/01/2021;;15:54:59;92;confidence:1}
9/01/2021;;15:55:04;90;confidence:3}
9/01/2021;;15:55:09;89;confidence:1}
9/01/2021;;15:55:14;87;confidence:1}
9/01/2021;;15:55:19;88;confidence:1}
9/01/2021;;15:55:24;91;confidence:1}
9/01/2021;;15:55:29;92;confidence:1}
9/01/2021;;15:55:34;94;confidence:1}
9/01/2021;;15:55:44;97;confidence:1}
9/01/2021;;15:55:49;99;confidence:1}
9/01/2021;;15:55:54;102;confidence:1}
9/01/2021;;15:55:59;101;confidence:1}
9/01/2021;;15:56:04;102;confidence:1}
9/01/2021;;15:56:09;100;confidence:1}
9/01/2021;;15:56:19;99;confidence:1}
9/01/2021;;15:56:24;98;confidence:1}
9/01/2021;;15:56:29;95;confidence:1}
9/01/2021;;15:56:34;93;confidence:1}
9/01/2021;;15:56:39;92;confidence:1}
9/01/2021;;15:56:44;89;confidence:1}
9/01/2021;;15:56:49;90;confidence:1}
9/01/2021;;15:56:59;91;confidence:1}
9/01/2021;;15:57:04;90;confidence:1}
9/01/2021;;15:57:09;92;confidence:1}
9/01/2021;;15:57:19;93;confidence:1}
9/01/2021;;15:57:24;94;confidence:1}
9/01/2021;;15:57:29;92;confidence:1}
9/01/2021;;15:57:34;90;confidence:2}
9/01/2021;;15:57:39;86;confidence:1}
9/01/2021;;15:57:49;85;confidence:1}
9/01/2021;;15:57:54;84;confidence:1}
9/01/2021;;15:57:59;83;confidence:1}
9/01/2021;;15:58:04;83;confidence:1}
9/01/2021;;15:58:19;82;confidence:1}
9/01/2021;;15:58:24;85;confidence:1}
9/01/2021;;15:58:29;86;confidence:1}
9/01/2021;;15:58:34;87;confidence:1}
9/01/2021;;15:58:39;88;confidence:1}
9/01/2021;;15:58:44;86;confidence:1}
9/01/2021;;15:58:49;87;confidence:1}
9/01/2021;;15:58:59;89;confidence:1}
9/01/2021;;15:59:04;90;confidence:1}
9/01/2021;;15:59:09;93;confidence:1}
9/01/2021;;15:59:14;95;confidence:1}
9/01/2021;;15:59:19;96;confidence:1}
9/01/2021;;15:59:24;97;confidence:1}
9/01/2021;;15:59:29;96;confidence:1}
9/01/2021;;15:59:34;98;confidence:1}
9/01/2021;;15:59:39;99;confidence:1}
9/01/2021;;15:59:44;96;confidence:1}
9/01/2021;;15:59:49;99;confidence:1}
9/01/2021;;15:59:54;98;confidence:1}
9/01/2021;;15:59:59;97;confidence:1}
9/01/2021;;16:00:09;95;confidence:1}
9/01/2021;;16:00:14;94;confidence:1}
9/01/2021;;16:00:24;95;confidence:1}
9/01/2021;;16:00:29;96;confidence:1}
9/01/2021;;16:00:34;98;confidence:1}
9/01/2021;;16:00:39;96;confidence:1}
9/01/2021;;16:00:44;95;confidence:1}
9/01/2021;;16:00:49;93;confidence:1}
9/01/2021;;16:00:54;94;confidence:1}
9/01/2021;;16:00:59;96;confidence:1}
9/01/2021;;16:01:04;95;confidence:1}
9/01/2021;;16:01:09;97;confidence:1}
9/01/2021;;16:01:14;98;confidence:1}
9/01/2021;;16:01:24;99;confidence:1}
9/01/2021;;16:01:39;100;confidence:1}
9/01/2021;;16:01:44;99;confidence:1}
9/01/2021;;16:01:49;100;confidence:1}
9/01/2021;;16:01:54;99;confidence:1}
9/01/2021;;16:01:59;97;confidence:1}
9/01/2021;;16:02:04;98;confidence:1}
9/01/2021;;16:02:09;97;confidence:1}
9/01/2021;;16:02:14;98;confidence:1}
9/01/2021;;16:02:19;99;confidence:1}
9/01/2021;;16:02:24;101;confidence:1}
9/01/2021;;16:02:29;102;confidence:1}
9/01/2021;;16:02:39;100;confidence:1}
9/01/2021;;16:02:44;99;confidence:1}
9/01/2021;;16:02:59;99;confidence:1}
9/01/2021;;16:03:14;99;confidence:1}
9/01/2021;;16:03:19;100;confidence:1}
9/01/2021;;16:03:24;98;confidence:1}
9/01/2021;;16:03:34;99;confidence:1}
9/01/2021;;16:03:39;100;confidence:1}
9/01/2021;;16:03:44;101;confidence:1}
9/01/2021;;16:03:49;99;confidence:1}
9/01/2021;;16:03:54;100;confidence:1}
9/01/2021;;16:04:04;102;confidence:1}
9/01/2021;;16:04:09;100;confidence:1}
9/01/2021;;16:04:19;99;confidence:1}
9/01/2021;;16:04:24;100;confidence:1}
9/01/2021;;16:04:29;96;confidence:1}
9/01/2021;;16:04:39;95;confidence:1}
9/01/2021;;16:04:44;93;confidence:1}
9/01/2021;;16:04:49;94;confidence:1}
9/01/2021;;16:04:59;93;confidence:1}
9/01/2021;;16:05:04;91;confidence:1}
9/01/2021;;16:05:09;92;confidence:1}
9/01/2021;;16:05:14;91;confidence:1}
9/01/2021;;16:05:19;92;confidence:1}
9/01/2021;;16:05:24;94;confidence:1}
9/01/2021;;16:05:29;95;confidence:1}
9/01/2021;;16:05:34;94;confidence:1}
9/01/2021;;16:05:39;97;confidence:1}
9/01/2021;;16:05:44;99;confidence:1}
9/01/2021;;16:05:49;96;confidence:1}
9/01/2021;;16:05:54;98;confidence:1}
9/01/2021;;16:05:59;97;confidence:1}
9/01/2021;;16:06:04;96;confidence:1}
9/01/2021;;16:06:14;93;confidence:1}
9/01/2021;;16:06:19;92;confidence:2}
9/01/2021;;16:06:24;90;confidence:3}
9/01/2021;;16:06:29;89;confidence:2}
9/01/2021;;16:06:44;89;confidence:1}
9/01/2021;;16:06:49;90;confidence:1}
