da;eTime;Time;Value;;;
9/02/2021 0:00;6:56:22;17:26:22;73;confidence;1};10:30:00
9/02/2021 0:00;6:56:27;17:26:27;76;confidence;1};10:30:00
9/02/2021 0:00;6:56:32;17:26:32;79;confidence;1};10:30:00
9/02/2021 0:00;6:56:37;17:26:37;78;confidence;1};10:30:00
9/02/2021 0:00;6:56:42;17:26:42;81;confidence;1};10:30:00
9/02/2021 0:00;6:56:47;17:26:47;77;confidence;1};10:30:00
9/02/2021 0:00;6:56:52;17:26:52;79;confidence;1};10:30:00
9/02/2021 0:00;6:56:57;17:26:57;78;confidence;1};10:30:00
9/02/2021 0:00;6:57:02;17:27:02;76;confidence;1};10:30:00
9/02/2021 0:00;6:57:17;17:27:17;77;confidence;1};10:30:00
9/02/2021 0:00;6:57:22;17:27:22;78;confidence;1};10:30:00
9/02/2021 0:00;6:57:27;17:27:27;79;confidence;1};10:30:00
9/02/2021 0:00;6:57:32;17:27:32;81;confidence;1};10:30:00
9/02/2021 0:00;6:57:37;17:27:37;80;confidence;1};10:30:00
9/02/2021 0:00;6:57:52;17:27:52;79;confidence;1};10:30:00
9/02/2021 0:00;6:58:07;17:28:07;78;confidence;1};10:30:00
9/02/2021 0:00;6:58:12;17:28:12;79;confidence;1};10:30:00
9/02/2021 0:00;6:58:22;17:28:22;80;confidence;1};10:30:00
9/02/2021 0:00;6:58:27;17:28:27;81;confidence;1};10:30:00
9/02/2021 0:00;6:58:32;17:28:32;82;confidence;1};10:30:00
9/02/2021 0:00;6:58:37;17:28:37;81;confidence;1};10:30:00
9/02/2021 0:00;6:58:42;17:28:42;82;confidence;1};10:30:00
9/02/2021 0:00;6:58:47;17:28:47;81;confidence;1};10:30:00
9/02/2021 0:00;6:58:52;17:28:52;82;confidence;1};10:30:00
9/02/2021 0:00;6:58:57;17:28:57;83;confidence;1};10:30:00
9/02/2021 0:00;6:59:12;17:29:12;85;confidence;1};10:30:00
9/02/2021 0:00;6:59:17;17:29:17;84;confidence;1};10:30:00
9/02/2021 0:00;6:59:22;17:29:22;82;confidence;1};10:30:00
9/02/2021 0:00;6:59:32;17:29:32;81;confidence;1};10:30:00
9/02/2021 0:00;6:59:47;17:29:47;81;confidence;1};10:30:00
9/02/2021 0:00;6:59:52;17:29:52;82;confidence;1};10:30:00
9/02/2021 0:00;6:59:57;17:29:57;84;confidence;1};10:30:00
9/02/2021 0:00;7:00:02;17:30:02;83;confidence;1};10:30:00
9/02/2021 0:00;7:00:07;17:30:07;84;confidence;1};10:30:00
9/02/2021 0:00;7:00:12;17:30:12;83;confidence;1};10:30:00
9/02/2021 0:00;7:00:17;17:30:17;82;confidence;1};10:30:00
9/02/2021 0:00;7:00:22;17:30:22;84;confidence;1};10:30:00
9/02/2021 0:00;7:00:27;17:30:27;81;confidence;1};10:30:00
9/02/2021 0:00;7:00:32;17:30:32;80;confidence;1};10:30:00
9/02/2021 0:00;7:00:37;17:30:37;83;confidence;1};10:30:00
9/02/2021 0:00;7:00:47;17:30:47;82;confidence;1};10:30:00
9/02/2021 0:00;7:00:52;17:30:52;81;confidence;1};10:30:00
9/02/2021 0:00;7:00:57;17:30:57;79;confidence;1};10:30:00
9/02/2021 0:00;7:01:02;17:31:02;81;confidence;1};10:30:00
9/02/2021 0:00;7:01:07;17:31:07;80;confidence;1};10:30:00
9/02/2021 0:00;7:01:22;17:31:22;80;confidence;1};10:30:00
9/02/2021 0:00;7:01:37;17:31:37;80;confidence;1};10:30:00
9/02/2021 0:00;7:01:52;17:31:52;82;confidence;1};10:30:00
9/02/2021 0:00;7:01:57;17:31:57;90;confidence;1};10:30:00
9/02/2021 0:00;7:02:02;17:32:02;84;confidence;1};10:30:00
9/02/2021 0:00;7:02:07;17:32:07;82;confidence;1};10:30:00
9/02/2021 0:00;7:02:12;17:32:12;89;confidence;1};10:30:00
9/02/2021 0:00;7:02:17;17:32:17;79;confidence;1};10:30:00
9/02/2021 0:00;7:02:22;17:32:22;84;confidence;1};10:30:00
9/02/2021 0:00;7:02:27;17:32:27;82;confidence;1};10:30:00
9/02/2021 0:00;7:02:32;17:32:32;89;confidence;1};10:30:00
9/02/2021 0:00;7:02:42;17:32:42;90;confidence;1};10:30:00
9/02/2021 0:00;7:02:57;17:32:57;89;confidence;1};10:30:00
9/02/2021 0:00;7:03:02;17:33:02;90;confidence;1};10:30:00
9/02/2021 0:00;7:03:07;17:33:07;87;confidence;1};10:30:00
9/02/2021 0:00;7:03:12;17:33:12;85;confidence;1};10:30:00
9/02/2021 0:00;7:03:17;17:33:17;86;confidence;1};10:30:00
9/02/2021 0:00;7:03:22;17:33:22;84;confidence;1};10:30:00
9/02/2021 0:00;7:03:27;17:33:27;88;confidence;1};10:30:00
9/02/2021 0:00;7:03:32;17:33:32;81;confidence;1};10:30:00
9/02/2021 0:00;7:03:37;17:33:37;83;confidence;1};10:30:00
