event time,event
0.0,0.0
651.166,6.0
651.166,6.0
651.166,6.0
651.166,6.0
651.166,6.0
4132.567,7.0
4132.567,7.0
4132.567,7.0
4132.567,7.0
4132.567,7.0
4132.567,7.0
4132.567,7.0
7239.817,2.0
7239.817,2.0
7239.817,2.0
7239.817,2.0
7239.817,2.0
8109.393000000001,1.0
8109.393000000001,1.0
8109.393000000001,1.0
8109.393000000001,1.0
8109.393000000001,1.0
10173.881,10.0
10173.881,10.0
10173.881,10.0
10173.881,10.0
10173.881,10.0
12598.466,4.0
12598.466,4.0
12598.466,4.0
12598.466,4.0
26523.086,4.0
26523.086,4.0
26523.086,4.0
26523.086,4.0
44260.129,5.0
44260.129,5.0
44260.129,5.0
44260.129,5.0
44260.129,5.0
44260.129,5.0
44577.151,5.0
51835.026,2.0
51835.026,2.0
51935.166000000005,2.0
51989.30699999999,2.0
51989.30699999999,2.0
