dateTime;;Time;Value;
08-31-2021;;9:35:12;66;confidence:0}
08-31-2021;;9:35:56;65;confidence:0}
08-31-2021;;9:36:31;65;confidence:0}
08-31-2021;;9:37:00;65;confidence:0}
08-31-2021;;9:37:35;65;confidence:0}
08-31-2021;;9:37:55;65;confidence:0}
08-31-2021;;9:38:51;65;confidence:0}
08-31-2021;;9:39:59;65;confidence:0}
08-31-2021;;9:41:38;66;confidence:0}
08-31-2021;;9:42:15;73;confidence:1}
08-31-2021;;9:42:20;70;confidence:0}
08-31-2021;;9:42:35;70;confidence:1}
08-31-2021;;9:42:40;72;confidence:1}
08-31-2021;;9:42:45;73;confidence:1}
08-31-2021;;9:42:55;72;confidence:1}
08-31-2021;;9:43:00;70;confidence:1}
08-31-2021;;9:43:05;69;confidence:1}
08-31-2021;;9:43:10;66;confidence:1}
08-31-2021;;9:43:15;67;confidence:1}
08-31-2021;;9:43:20;68;confidence:1}
08-31-2021;;9:43:29;67;confidence:1}
08-31-2021;;9:43:34;69;confidence:0}
08-31-2021;;9:43:39;70;confidence:0}
08-31-2021;;9:43:49;70;confidence:1}
08-31-2021;;9:43:54;65;confidence:1}
08-31-2021;;9:44:04;66;confidence:1}
08-31-2021;;9:44:09;64;confidence:1}
08-31-2021;;9:44:14;66;confidence:1}
08-31-2021;;9:44:19;68;confidence:1}
08-31-2021;;9:44:24;69;confidence:1}
08-31-2021;;9:44:29;68;confidence:1}
08-31-2021;;9:44:38;68;confidence:1}
08-31-2021;;9:44:43;69;confidence:0}
08-31-2021;;9:44:48;70;confidence:0}
08-31-2021;;9:44:58;70;confidence:1}
08-31-2021;;9:45:03;78;confidence:1}
08-31-2021;;9:45:08;85;confidence:1}
08-31-2021;;9:45:13;83;confidence:1}
08-31-2021;;9:45:18;78;confidence:2}
08-31-2021;;9:45:28;82;confidence:1}
08-31-2021;;9:45:33;85;confidence:1}
08-31-2021;;9:45:47;83;confidence:1}
08-31-2021;;9:45:52;72;confidence:0}
08-31-2021;;9:45:57;70;confidence:0}
08-31-2021;;9:46:07;72;confidence:1}
08-31-2021;;9:46:12;74;confidence:1}
08-31-2021;;9:46:17;66;confidence:1}
08-31-2021;;9:46:22;69;confidence:1}
08-31-2021;;9:46:27;73;confidence:1}
08-31-2021;;9:46:32;74;confidence:1}
08-31-2021;;9:46:42;73;confidence:1}
08-31-2021;;9:46:47;72;confidence:1}
08-31-2021;;9:46:56;72;confidence:1}
08-31-2021;;9:47:01;70;confidence:0}
08-31-2021;;9:47:16;70;confidence:1}
08-31-2021;;9:47:21;71;confidence:1}
08-31-2021;;9:47:26;65;confidence:1}
08-31-2021;;9:47:31;66;confidence:1}
08-31-2021;;9:47:46;67;confidence:1}
08-31-2021;;9:47:51;70;confidence:1}
08-31-2021;;9:47:56;71;confidence:1}
08-31-2021;;9:48:05;71;confidence:1}
08-31-2021;;9:48:10;70;confidence:0}
08-31-2021;;9:48:25;70;confidence:1}
08-31-2021;;9:49:08;70;confidence:0}
08-31-2021;;9:49:15;70;confidence:0}
08-31-2021;;9:49:30;70;confidence:0}
08-31-2021;;9:49:45;70;confidence:0}
08-31-2021;;9:49:50;85;confidence:1}
08-31-2021;;9:49:55;92;confidence:1}
08-31-2021;;9:50:00;76;confidence:1}
08-31-2021;;9:50:05;74;confidence:2}
08-31-2021;;9:50:10;71;confidence:2}
08-31-2021;;9:50:15;72;confidence:2}
08-31-2021;;9:50:20;76;confidence:2}
08-31-2021;;9:50:25;75;confidence:2}
