time,angle
0.0,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
1.9980000000000002,0.0
711.444,0.67291259765625
711.444,0.67291259765625
711.444,0.67291259765625
711.444,0.67291259765625
711.444,0.67291259765625
711.444,0.67291259765625
711.444,0.67291259765625
711.444,0.67291259765625
1114.095,0.67291259765625
1114.095,0.67291259765625
1114.095,0.67291259765625
1114.095,0.67291259765625
1114.095,0.67291259765625
1114.095,0.67291259765625
1114.095,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1470.119,0.67291259765625
1978.601,0.67291259765625
1978.601,0.67291259765625
1978.601,0.67291259765625
1978.601,0.67291259765625
1978.601,0.67291259765625
1978.601,0.67291259765625
2282.437,0.67291259765625
2282.437,0.67291259765625
2282.437,0.67291259765625
2282.437,0.67291259765625
2282.437,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
2537.072,0.67291259765625
3245.219,0.67291259765625
3245.219,0.67291259765625
3245.219,0.67291259765625
3245.219,0.67291259765625
3245.219,0.67291259765625
3503.5389999999998,0.67291259765625
3553.704,0.67291259765625
3553.704,0.67291259765625
3553.704,0.67291259765625
3553.704,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
3755.719,0.67291259765625
4563.378000000001,0.67291259765625
4613.278,0.67291259765625
4663.859,0.67291259765625
4714.444,0.67291259765625
4764.687,0.67291259765625
4815.568,0.67291259765625
4865.3550000000005,0.67291259765625
4916.594,0.67291259765625
4916.594,0.67291259765625
4916.594,0.67291259765625
4916.594,0.67291259765625
4916.594,0.67291259765625
5166.264,0.67291259765625
5166.264,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5268.237,0.67291259765625
5724.130999999999,-6.7840576171875
5774.324,-8.19854736328125
5824.99,-9.15985107421875
5875.298,-9.9700927734375
5924.9130000000005,-10.21728515625
5975.246,-10.23101806640625
6025.365,-10.23101806640625
6075.8640000000005,-10.23101806640625
6125.976,-10.23101806640625
6125.976,-10.23101806640625
6226.962,-10.23101806640625
6277.318,-10.23101806640625
6327.511,-10.23101806640625
6377.792,-10.23101806640625
6377.792,-10.23101806640625
6377.792,-10.23101806640625
6528.435,-10.23101806640625
6528.435,-10.23101806640625
6629.729,-10.23101806640625
6679.716,-10.23101806640625
6731.214,-10.23101806640625
6781.581,-10.23101806640625
6831.416,-10.23101806640625
6881.043,-10.23101806640625
6931.725,-10.23101806640625
6981.731,-10.23101806640625
7032.13,-10.23101806640625
7082.509,-10.23101806640625
7131.836,-10.23101806640625
7131.836,-10.23101806640625
7232.665,-10.2996826171875
7282.228,-10.43701171875
7332.499000000001,-10.6842041015625
7381.853,-11.16485595703125
7432.420999999999,-11.7279052734375
7482.3550000000005,-12.23602294921875
7533.407,-12.45574951171875
7583.659,-12.45574951171875
7633.085999999999,-12.45574951171875
7683.474,-12.45574951171875
7734.161,-12.45574951171875
7785.106,-12.45574951171875
7835.885,-12.469482421875
7885.943,-12.5518798828125
