"dateTime","value"
"09-02-2021 18:57:22","{""bpm"":78,""confidence"":1}"
"09-02-2021 18:57:27","{""bpm"":79,""confidence"":1}"
"09-02-2021 18:57:32","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:57:37","{""bpm"":80,""confidence"":1}"
"09-02-2021 18:57:52","{""bpm"":79,""confidence"":1}"
"09-02-2021 18:58:07","{""bpm"":78,""confidence"":1}"
"09-02-2021 18:58:12","{""bpm"":79,""confidence"":1}"
"09-02-2021 18:58:22","{""bpm"":80,""confidence"":1}"
"09-02-2021 18:58:27","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:58:32","{""bpm"":82,""confidence"":1}"
"09-02-2021 18:58:37","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:58:42","{""bpm"":82,""confidence"":1}"
"09-02-2021 18:58:47","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:58:52","{""bpm"":82,""confidence"":1}"
"09-02-2021 18:58:57","{""bpm"":83,""confidence"":1}"
"09-02-2021 18:59:12","{""bpm"":85,""confidence"":1}"
"09-02-2021 18:59:17","{""bpm"":84,""confidence"":1}"
"09-02-2021 18:59:22","{""bpm"":82,""confidence"":1}"
"09-02-2021 18:59:32","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:59:47","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:59:52","{""bpm"":82,""confidence"":1}"
"09-02-2021 18:59:57","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:00:02","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:00:07","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:00:12","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:00:17","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:00:22","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:00:27","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:00:32","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:00:37","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:00:47","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:00:52","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:00:57","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:01:02","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:01:07","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:01:22","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:01:37","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:01:52","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:01:57","{""bpm"":90,""confidence"":1}"
"09-02-2021 19:02:02","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:02:07","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:02:12","{""bpm"":89,""confidence"":1}"
"09-02-2021 19:02:17","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:02:22","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:02:27","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:02:32","{""bpm"":89,""confidence"":1}"
"09-02-2021 19:02:42","{""bpm"":90,""confidence"":1}"
"09-02-2021 19:02:57","{""bpm"":89,""confidence"":1}"
"09-02-2021 19:03:02","{""bpm"":90,""confidence"":1}"
"09-02-2021 19:03:07","{""bpm"":87,""confidence"":1}"
"09-02-2021 19:03:12","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:03:17","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:03:22","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:03:27","{""bpm"":88,""confidence"":1}"
"09-02-2021 19:03:32","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:03:37","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:03:42","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:03:47","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:03:52","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:03:57","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:04:02","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:04:07","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:04:12","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:04:17","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:04:22","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:04:27","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:04:37","{""bpm"":87,""confidence"":1}"
"09-02-2021 19:04:52","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:05:07","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:05:12","{""bpm"":88,""confidence"":1}"
"09-02-2021 19:05:24","{""bpm"":94,""confidence"":1}"
"09-02-2021 19:05:29","{""bpm"":95,""confidence"":1}"
"09-02-2021 19:05:39","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:05:44","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:05:49","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:05:54","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:05:59","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:06:04","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:06:09","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:06:14","{""bpm"":72,""confidence"":1}"
"09-02-2021 19:06:24","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:06:29","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:06:39","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:06:49","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:06:54","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:06:59","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:07:04","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:07:09","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:07:14","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:07:24","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:07:39","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:07:44","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:07:54","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:08:04","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:08:14","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:08:19","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:08:24","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:08:34","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:08:39","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:08:44","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:08:49","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:08:59","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:09:04","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:09:09","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:09:19","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:09:24","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:09:29","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:09:39","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:09:44","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:09:49","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:09:54","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:10:04","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:10:09","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:10:14","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:10:19","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:10:24","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:10:29","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:10:44","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:10:49","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:10:54","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:10:59","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:11:09","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:11:14","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:11:19","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:11:24","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:11:29","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:11:34","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:11:39","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:11:44","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:11:49","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:11:54","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:11:59","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:12:04","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:12:09","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:12:14","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:12:19","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:12:29","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:12:39","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:12:44","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:12:49","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:12:54","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:12:59","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:13:09","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:13:14","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:13:19","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:13:24","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:13:29","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:13:34","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:13:39","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:13:44","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:13:49","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:13:54","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:13:59","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:14:14","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:14:19","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:14:29","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:14:39","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:14:44","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:14:49","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:15:04","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:15:09","{""bpm"":74,""confidence"":2}"
"09-02-2021 19:15:14","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:15:24","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:15:34","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:15:39","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:15:44","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:15:49","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:15:54","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:15:59","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:16:14","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:16:19","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:16:24","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:16:29","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:16:34","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:16:39","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:16:44","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:16:49","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:16:54","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:16:59","{""bpm"":81,""confidence"":2}"
