event time,event
0.0,0.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
1320.333,7.0
3708.008,10.0
3708.008,10.0
3708.008,10.0
3708.008,10.0
3708.008,10.0
3708.008,10.0
3708.008,10.0
3708.008,10.0
4932.045999999999,3.0
4932.045999999999,3.0
4932.045999999999,3.0
4932.045999999999,3.0
5287.04,3.0
5287.04,3.0
5287.04,3.0
6765.345,4.0
6765.345,4.0
6765.345,4.0
6765.345,4.0
6765.345,4.0
