event time,event
0.0,0.0
2489.241,6.0
2489.241,6.0
2489.241,6.0
2489.241,6.0
2489.241,6.0
2489.241,6.0
3053.6,7.0
3053.6,7.0
3053.6,7.0
3053.6,7.0
3053.6,7.0
3053.6,7.0
3360.771,7.0
3411.9190000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
3462.2160000000003,7.0
5240.176,10.0
5240.176,10.0
5240.176,10.0
5240.176,10.0
5240.176,10.0
5240.176,10.0
5545.925,10.0
6417.606,3.0
6417.606,3.0
6417.606,3.0
6723.846,3.0
6723.846,3.0
6825.953,3.0
6877.344,3.0
9024.016,4.0
9075.613000000001,4.0
9126.765000000001,4.0
9176.884,4.0
9230.9,4.0
