"dateTime","value"
"09-01-2021 15:38:46","{""bpm"":71,""confidence"":1}"
"09-01-2021 15:38:51","{""bpm"":73,""confidence"":1}"
"09-01-2021 15:38:56","{""bpm"":78,""confidence"":1}"
"09-01-2021 15:39:01","{""bpm"":81,""confidence"":1}"
"09-01-2021 15:39:06","{""bpm"":82,""confidence"":1}"
"09-01-2021 15:39:11","{""bpm"":85,""confidence"":1}"
"09-01-2021 15:39:16","{""bpm"":83,""confidence"":1}"
"09-01-2021 15:39:21","{""bpm"":82,""confidence"":1}"
"09-01-2021 15:39:26","{""bpm"":85,""confidence"":1}"
"09-01-2021 15:39:31","{""bpm"":80,""confidence"":1}"
"09-01-2021 15:39:36","{""bpm"":82,""confidence"":1}"
"09-01-2021 15:39:51","{""bpm"":80,""confidence"":1}"
"09-01-2021 15:39:56","{""bpm"":78,""confidence"":1}"
"09-01-2021 15:40:01","{""bpm"":69,""confidence"":1}"
"09-01-2021 15:40:11","{""bpm"":66,""confidence"":1}"
"09-01-2021 15:40:16","{""bpm"":75,""confidence"":1}"
"09-01-2021 15:40:21","{""bpm"":80,""confidence"":2}"
"09-01-2021 15:40:31","{""bpm"":81,""confidence"":2}"
"09-01-2021 15:40:36","{""bpm"":79,""confidence"":3}"
"09-01-2021 15:40:41","{""bpm"":77,""confidence"":3}"
"09-01-2021 15:40:46","{""bpm"":75,""confidence"":3}"
"09-01-2021 15:40:51","{""bpm"":73,""confidence"":2}"
"09-01-2021 15:40:56","{""bpm"":72,""confidence"":2}"
"09-01-2021 15:41:06","{""bpm"":73,""confidence"":1}"
"09-01-2021 15:41:11","{""bpm"":72,""confidence"":1}"
"09-01-2021 15:41:16","{""bpm"":72,""confidence"":3}"
"09-01-2021 15:41:31","{""bpm"":72,""confidence"":3}"
"09-01-2021 15:41:36","{""bpm"":73,""confidence"":3}"
"09-01-2021 15:41:41","{""bpm"":74,""confidence"":3}"
"09-01-2021 15:41:46","{""bpm"":73,""confidence"":3}"
"09-01-2021 15:41:51","{""bpm"":72,""confidence"":3}"
"09-01-2021 15:41:56","{""bpm"":73,""confidence"":1}"
"09-01-2021 15:42:06","{""bpm"":76,""confidence"":1}"
"09-01-2021 15:42:11","{""bpm"":79,""confidence"":1}"
"09-01-2021 15:42:16","{""bpm"":76,""confidence"":1}"
"09-01-2021 15:42:26","{""bpm"":77,""confidence"":1}"
"09-01-2021 15:42:31","{""bpm"":77,""confidence"":3}"
"09-01-2021 15:42:36","{""bpm"":76,""confidence"":1}"
"09-01-2021 15:42:51","{""bpm"":78,""confidence"":1}"
"09-01-2021 15:42:56","{""bpm"":79,""confidence"":1}"
"09-01-2021 15:43:11","{""bpm"":80,""confidence"":2}"
"09-01-2021 15:43:16","{""bpm"":79,""confidence"":2}"
"09-01-2021 15:43:21","{""bpm"":77,""confidence"":1}"
"09-01-2021 15:43:26","{""bpm"":75,""confidence"":1}"
"09-01-2021 15:43:41","{""bpm"":80,""confidence"":1}"
"09-01-2021 15:43:46","{""bpm"":85,""confidence"":1}"
"09-01-2021 15:43:56","{""bpm"":88,""confidence"":1}"
"09-01-2021 15:44:04","{""bpm"":82,""confidence"":1}"
