event time,event
0.0,0.0
11385.735,6.0
11385.735,6.0
11385.735,6.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
13000.809000000001,7.0
15578.327,10.0
15578.327,10.0
15578.327,10.0
15578.327,10.0
19007.042999999998,3.0
19007.042999999998,3.0
19007.042999999998,3.0
19262.483,3.0
19262.483,3.0
19262.483,3.0
27014.084,4.0
27064.865,4.0
27115.569,4.0
27165.292,4.0
